序号,code,name,eps,revenue,rev_yoy,营业总收入-季度环比增长,profit,profit_yoy,净利润-季度环比增长,bps,roe,ocf_ps,gross_margin,industry,ann_date,rev_yi,profit_yi,cash_ratio,小基数
2160,000893,亚钾国际,1.4779,3821523343.93,51.5332946236,56.8519,1350087083.75,57.93,53.5337,15.812318255114,9.63,2.004463802025,59.9159991778,农化制品,2026-08-28,38.22,13.501,1.3562919020400568,False
2183,000567,海德股份,0.6889,1863881742.4,452.3419346889,140.9552,1346502062.73,815.77,120.7752,3.555597480713,21.45,-0.008414199749,90.1918816188,多元金融,2026-08-28,18.64,13.465,-0.012213963926549573,False
8511,688072,拓荆科技,4.77,2912864261.46,49.060715147,61.8466,1342753980.93,1324.1,35.3222,43.7448191281,18.11,0.397208768798,41.0042896167,半导体,2026-08-21,29.13,13.428,0.0832722785740042,True
6665,301666,大普微,3.28,4722243608.44,531.1701845514,160.554,1333978842.92,477.08,160.6399,8.358912535513,77.43,-1.996417472123,34.9035465253,计算机设备,2026-08-25,47.22,13.34,-0.6086638634521342,False
6744,300919,中伟新材,1.23,33584326322.62,57.5061651121,13.2335,1302895789.76,77.8,34.6259,22.48688703211,5.44,1.527611184937,13.3199195157,电池,2026-08-25,335.84,13.029,1.2419603129569106,False
8761,002008,大族激光,1.25,13412802390.25,76.1864078,61.2091,1287969666.61,163.84,163.7639,20.84431169109,6.28,-0.663247488969,34.9445902574,自动化设备,2026-08-21,134.13,12.88,-0.5305979911752,False
10196,300765,石药创新,0.9056,3240242226.11,208.7245508115,287.5134,1261185991.32,46025.71,1543.7637,2.802644475103,38.2,1.976474281577,76.7440146191,化学制药,2026-08-18,32.4,12.612,2.1825025194092316,True
10108,688002,睿创微纳,2.72,4396621717.39,72.8372056798,26.0639,1259361594.5,258.78,63.0563,16.857268336089,17.01,3.053877447041,57.7585549231,军工电子Ⅱ,2026-08-18,43.97,12.594,1.1227490614121323,False
5423,002497,雅化集团,1.0634,6708819668.64,96.0196275236,37.0425,1215825634.91,795.48,158.8398,10.559598446538,10.73,-0.358466823283,31.696957063,化学制品,2026-08-26,67.09,12.158,-0.33709500026612754,False
730,300972,万辰集团,6.3021,34836220113.79,54.2615886258,9.4226,1209923284.45,156.58,-7.8809,13.661706262464,57.52,9.176067810521,12.8454388593,休闲食品,2026-08-29,348.36,12.099,1.4560333556308214,False
853,300223,君正股份,2.4808,3957263444.21,75.9477862057,53.7086,1197563640.28,489.59,175.4361,28.121508960531,9.18,1.982684046931,51.7494396317,半导体,2026-08-29,39.57,11.976,0.7992115635806999,False
10358,688183,生益电子,1.35,5783539107.99,53.4617074251,39.9243,1110707603.86,109.36,49.7554,7.774918795891,17.95,1.095336333284,34.3088361251,元件,2026-08-15,57.84,11.107,0.811360246877037,False
10612,603444,吉比特,15.15,3726842297.78,48.01380786,1.7397,1091536495.39,69.31,10.9068,84.072652433643,18.57,17.668642565999,93.7077935337,游戏Ⅱ,2026-08-14,37.27,10.915,1.16624703405934,False
9464,300418,昆仑万维,0.87,5359200218.63,43.5498435095,8.5455,1088006458.02,227.17,322.6631,11.517927746302,7.92,-0.363564008277,65.5753851484,数字媒体,2026-08-20,53.59,10.88,-0.41788966468620686,False
3433,001232,嘉立创,2.06,7172851108.95,54.1252523113,36.806,1030348906.94,73.54,73.6716,16.4707325298,13.37,2.53020248774,28.4073364889,元件,2026-08-27,71.73,10.303,1.2282536348252426,False
10113,603588,高能环境,0.679,10319078742.89,54.0155208839,6.7,1021792581.72,103.37,-30.4738,6.843937549799,10.139,-0.398365885555,20.809941729,环境治理,2026-08-18,103.19,10.218,-0.5866949713622975,False
6958,002240,盛新锂能,1.11,7358408539.74,355.9381524483,24.0652,1011791867.33,220.3,18.0418,12.325385056167,9.38,-0.274163600049,31.7537582495,能源金属,2026-08-25,73.58,10.118,-0.24699423427837833,False
10235,002192,融捷股份,3.8574,1524205167.81,402.3507799318,205.1657,1001599511.84,1076.14,160.3236,17.513379768939,24.58,1.702953500223,76.3610647268,能源金属,2026-08-18,15.24,10.016,0.4414770312186965,True
8806,000042,中洲控股,1.4872,4501009816.3,168.3505063497,1076.9993,988704532.47,421.76,1692.9021,4.995674922772,34.97,0.59761730813,67.9295321458,房地产开发,2026-08-21,45.01,9.887,0.4018405783552985,False
8687,300037,新宙邦,1.31,7462553989.37,75.661099978,22.0225,983809390.12,103.33,4.7501,14.856697785664,8.82,1.494568347515,23.914176868,电池,2026-08-21,74.63,9.838,1.140891868332061,False
5417,002545,东方铁塔,0.7846,3050680328.78,42.0267778035,15.0956,976039815.97,97.84,42.8779,8.332709929726,9.52,0.920886302263,47.4758309154,农化制品,2026-08-26,30.51,9.76,1.1737016342888096,False
3443,000951,中国重汽,0.83,38410428905.06,46.8200495625,-4.6224,972705206.86,45.48,13.9379,14.158732595373,5.88,1.516980821819,6.8903405776,商用车,2026-08-27,384.1,9.727,1.8276877371313254,False
1919,300604,长川科技,1.52,3460789827.42,59.7153807171,51.0601,963672460.69,125.67,73.351,8.896662754363,18.52,0.526029933133,55.482024293,半导体,2026-08-28,34.61,9.637,0.3460723244296052,False
8638,301200,大族数控,2.06,4984920813.21,109.2892528466,54.9632,956862424.74,263.45,96.3176,24.636008522348,9.73,-2.19816735351,35.1450283133,专用设备,2026-08-21,49.85,9.569,-1.067071530830097,False
11067,001389,广合科技,2.14,4388260234.74,80.9775863738,29.275,955588247.43,94.39,43.4288,16.778133783404,16.05,1.982552566805,39.2728845228,元件,2026-08-08,43.88,9.556,0.9264264330864485,False
7847,300033,同花顺,1.27,2645653616.14,48.6819017812,51.1312,952305441.14,89.76,172.0838,10.19382504629,10.54,2.948804585805,88.9710269795,软件开发,2026-08-22,26.46,9.523,2.321893374649606,False
2148,000973,佛塑科技,0.4096,3877253411.39,259.6122333227,90.6068,905133771.24,1608.12,-37.3504,3.855410599277,11.19,0.090929146168,32.5490338063,塑料,2026-08-28,38.77,9.051,0.22199498576171875,True
608,600392,盛和资源,0.5058,8759018921.89,41.7648611587,58.9503,886615573.86,135.24,70.8556,7.449800570099,6.8,-0.363804882385,12.6425008214,小金属,2026-08-29,87.59,8.866,-0.7192662759687622,False
8636,301219,腾远钴业,2.3,6088654714.67,72.3639847635,37.9702,881004221.95,87.82,-34.0966,25.920379426949,8.99,-0.534202855311,25.818614191,能源金属,2026-08-21,60.89,8.81,-0.2322621110047826,False
3124,301536,星宸科技,2.05,2657812730.55,89.4320468794,67.4427,862919114.88,619.5,191.854,9.203976446054,25.35,0.878385572779,55.3621598071,半导体,2026-08-27,26.58,8.629,0.4284807672092683,False
10111,603893,瑞芯微,2.04,2876528206.23,40.6035594528,38.6262,859028900.86,61.73,60.9486,11.639553676018,18.34,1.892354771166,45.7909824874,半导体,2026-08-18,28.77,8.59,0.9276248878264706,False
3340,002653,海思科,0.7601,3095595953.82,54.7144719025,-2.0701,851228456.58,426.98,-46.5177,4.300191499901,18.3,0.679176502008,80.2428883555,化学制药,2026-08-27,30.96,8.512,0.8935357216261017,False
9697,688766,普冉股份,5.58,3959291997.88,336.6701829247,73.6624,826745893.31,1929.65,129.2339,22.478140532997,28.73,6.351654252135,51.1492760833,半导体,2026-08-19,39.59,8.267,1.1382892924973118,True
6887,002812,恩捷股份,0.8352,8671187982.67,50.4661972629,21.9006,820321427.54,980.99,115.134,26.524770613799,3.15,1.182715148707,29.893036091,电池,2026-08-25,86.71,8.203,1.416086145482519,False
1944,300438,鹏辉能源,1.622,10978445693.16,155.2717088771,30.2287,816440418.25,1025.39,52.4017,12.479808784087,14.17,0.336550496107,19.5858444315,电池,2026-08-28,109.78,8.164,0.2074910580191122,True
8560,600906,财达证券,0.24,2074130186.97,67.9216834493,82.378,766194871.25,104.59,102.3804,3.931791273045,6.06,0.264978193772,,证券Ⅱ,2026-08-21,20.74,7.662,1.1040758073833334,False
2050,002636,金安国纪,1.05,3398506484.53,65.7430637284,69.7718,765886985.22,986.66,179.452,5.889161362349,19.39,0.493405911374,33.1371312595,元件,2026-08-28,33.99,7.659,0.46991039178476185,False
7028,000155,川能动力,0.38,3340365493.96,124.7807166938,73.5989,706033602.6,130.73,64.6383,6.058669662401,6.52,0.2515017819,53.5602894858,电力,2026-08-25,33.4,7.06,0.6618467944736842,False
6941,002378,章源钨业,0.57,5847130133.16,143.711059147,22.2754,687622931.05,497.38,-19.6696,2.400643061977,25.61,-0.170409757834,25.1734560831,小金属,2026-08-25,58.47,6.876,-0.2989644874280702,False
9450,301377,鼎泰高科,1.66,1942851207.14,114.8532705135,38.6454,679131331.85,325.12,60.6279,7.591405318093,23.27,-0.110535461848,55.9236303489,通用设备,2026-08-20,19.43,6.791,-0.06658762761927711,False
8743,002237,恒邦股份,0.47,62178071135.31,44.4308342036,-10.8296,672473516.31,112.6,168.6627,9.604337066232,4.96,-1.423594411039,2.5965178073,贵金属,2026-08-21,621.78,6.725,-3.0289242788063833,False
7577,000833,粤桂股份,0.8263,2342706476.62,72.365613943,39.7501,662784006.79,182.76,107.3015,5.559418309323,15.79,-0.040748478391,43.5404554126,综合Ⅱ,2026-08-24,23.43,6.628,-0.049314387499697444,False
7634,688110,东芯股份,1.5,1496960025.64,336.4421035888,112.3067,659258684.09,694.0953379562,276.7408,9.395847712389,17.36,1.294119313005,67.6610727409,半导体,2026-08-22,14.97,6.593,0.86274620867,False
9449,301500,飞南资源,1.1583,9980677960.82,52.543704291,19.5829,648670469.17,307.31,-39.9979,9.620982646288,12.78,-1.156676815991,12.1902323627,环境治理,2026-08-20,99.81,6.487,-0.9985986497375462,False
11255,688266,泽璟制药,2.42,1205379571.43,220.8781295535,-66.8665,640011104.13,979.0933971189,-98.8305,6.499558778209,45.7,3.054359312938,94.6415800084,化学制药,2026-08-01,12.05,6.4,1.2621319474950412,False
132,688802,沐曦股份,1.53,1323593726.74,44.6659638137,35.5499,612449523.3,429.4629301253,819.622,34.668198344539,4.53,-3.241341705349,57.2152440602,半导体,2026-08-31,13.24,6.124,-2.118523990424183,False
366,688498,源杰科技,4.89,925150462.56,351.4010703617,60.4015,607072892.98,1212.2,138.3115,25.234389075946,22.1,3.917049146044,80.4246767203,半导体,2026-08-29,9.25,6.071,0.801032545203272,True
382,688275,万润新能,4.89,12426446346.01,180.1342058853,30.9724,602148422.76,326.5605906087,-49.8303,44.51426787702,11.21,-22.44002413802,11.5626145848,电池,2026-08-29,124.26,6.021,-4.588961991415133,False
9386,600601,方正科技,0.14,3699993416.88,72.8939532958,36.6215,573573120.51,232.38,47.6213,1.228073736765,11.61,0.119760022222,32.2297627888,元件,2026-08-20,37.0,5.736,0.8554287301571427,False
2731,688808,联讯仪器,6.63,1531149021.62,208.7055946128,113.9401,567133423.76,903.0,276.9708,32.996810060757,31.1,5.342234209571,70.7942535034,通用设备,2026-08-27,15.31,5.671,0.8057668491057315,False
4827,688257,新锐股份,1.6073,2057232334.56,80.3947563439,-15.9439,565140212.86,460.51,-19.0413,8.078589651845,21.51,0.24312898221,49.1420313319,通用设备,2026-08-26,20.57,5.651,0.15126546519629194,False
6512,601069,西部黄金,0.6001,11043395827.6,119.6207740424,-63.3749,546703059.57,315.67,-95.3654,5.641347150441,10.92,1.520714750721,9.5926149217,贵金属,2026-08-25,110.43,5.467,2.53410223416264,False
680,301345,涛涛车业,4.96,2750896713.41,60.5619387461,59.7677,540494930.59,57.94,106.572,36.219888704783,14.18,6.534833806975,42.3479490124,摩托车及其他,2026-08-29,27.51,5.405,1.317506815922379,False
11433,603162,海通发展,0.39,3470556268.14,92.7753444935,58.352,523456757.05,502.6,48.7955,3.542972098194,11.16,0.52480182726,19.6142461216,航运港口,2026-07-21,34.71,5.235,1.3456457109230768,False
5337,300073,当升科技,0.9561,10475289755.0,136.3292746706,31.4664,520413034.19,67.25,-12.015,27.652177208315,3.49,0.157920189952,13.2503203643,电池,2026-08-26,104.75,5.204,0.16517120589059722,False
4809,688449,联芸科技,1.13,854109397.31,40.0818953052,40.4079,519551700.5,825.54,5663.8126,5.286861846457,23.84,0.292810378674,49.8526212346,半导体,2026-08-26,8.54,5.196,0.2591242289150443,False
8769,001287,中电港,0.6751,73555689191.12,164.1925747444,46.3179,513045883.85,183.64,123.8047,7.652092504918,9.17,-23.029324284453,2.8454848379,其他电子Ⅱ,2026-08-21,735.56,5.13,-34.11246376011405,False
10228,002407,多氟多,0.43,7035840642.72,62.5493012967,18.8101,511861621.91,897.19,-63.6958,7.293298265204,5.94,0.282561050151,21.5703403337,化学制品,2026-08-18,70.36,5.119,0.6571187212813954,False
9408,600105,永鼎股份,0.344,3339017624.9,47.7515331414,68.0501,503450137.78,58.06,116.9818,2.4890568498,14.77,0.23697454267,27.8880348234,通信设备,2026-08-20,33.39,5.035,0.688879484505814,False
729,300975,商络电子,0.7364,8721853884.43,121.5592594075,29.9203,503267644.83,493.25,-3.8909,4.125416765625,19.03,-2.122176035801,15.2079228121,元件,2026-08-29,87.22,5.033,-2.881825143673275,False
9315,688778,厦钨新能,0.98,14487960872.5,91.089293552,20.0093,491169347.29,46.62,23.1678,18.84443698507,5.22,0.560290399563,8.2940741976,电池,2026-08-20,144.88,4.912,0.5717248975132653,False
11301,603929,亚翔集成,2.3,2547729187.94,51.3555104102,25.3754,490416194.97,204.8,-2.2134,11.190829495079,20.91,-0.613837782387,24.2492882778,专业工程,2026-07-31,25.48,4.904,-0.26688599234217397,False
5290,300458,全志科技,0.49,1888442625.74,41.233970607,7.0753,490211272.38,204.17,41.4472,3.505641414532,14.78,0.226616493147,43.1213120404,半导体,2026-08-26,18.88,4.902,0.4624826390755102,False
923,002842,翔鹭钨业,1.47,2633272274.03,182.8509858326,29.3646,482090971.0,2522.4,-7.5575,5.038118568747,33.24,-1.565544007129,32.0047925804,小金属,2026-08-29,26.33,4.821,-1.064995923217007,True
362,688519,南亚新材,2.02,4223655477.69,83.2344446153,30.5286,461065617.47,428.8,107.1055,13.920134021391,15.24,-0.10050293757,18.8654089811,元件,2026-08-29,42.24,4.611,-0.04975392949009901,False
1902,300769,德方纳米,1.63,10399817836.18,167.9240002831,39.8211,455448105.69,216.55,-28.0978,19.330356302444,8.75,-4.409564591071,11.3347015567,电池,2026-08-28,104.0,4.554,-2.7052543503503066,False
4955,603026,石大胜华,1.93,4784572855.77,58.9101314344,14.5084,449726109.25,898.2674509701,-40.3003,23.237737302382,8.74,-5.308637822438,19.591803035,电池,2026-08-26,47.85,4.497,-2.7505895453046634,False
8766,001337,四川黄金,1.0299,827033385.63,87.0261079822,-27.977,432572275.71,107.34,-37.0739,4.900986582048,21.86,1.351327299714,71.0147106737,贵金属,2026-08-21,8.27,4.326,1.3120956400757355,False
6669,301606,绿联科技,1.0387,5820509537.6,50.917613686,8.0153,430980895.55,56.9,-18.6398,8.598385376242,12.12,-0.168735374647,39.1794783486,消费电子,2026-08-25,58.21,4.31,-0.1624486133118321,False
10210,003022,联泓新科,0.32,5365694741.02,84.3071289737,38.9286,426865507.23,165.68,94.9573,5.841687167385,5.59,0.47628068645,23.8666692814,光伏设备,2026-08-18,53.66,4.269,1.48837714515625,False
3192,300953,震裕科技,1.75,6394440075.91,58.0137189346,15.3784,423322864.52,100.3,-49.7745,20.097626619123,9.02,0.242944359246,13.9507362104,电池,2026-08-27,63.94,4.233,0.13882534814057143,False
2839,603906,龙蟠科技,0.59,7198435910.75,98.7485952091,5.8567,420500326.38,593.8150342423,-3.7445,6.549520108246,11.56,-3.161292344335,20.0563539054,电池,2026-08-27,71.98,4.205,-5.358122617516949,False
782,300661,圣邦股份,0.6775,2595425649.9,42.7014387998,36.3494,420315413.23,109.28,139.8058,14.439008100149,7.61,0.564121575109,51.8393937396,半导体,2026-08-29,25.95,4.203,0.8326517713785977,False
3150,301292,海科新源,1.86,3358646332.39,45.00473462,22.5697,414635348.47,1068.08,5.9252,13.908963316172,14.49,-0.445668480845,20.9131389118,电池,2026-08-27,33.59,4.146,-0.2396067101317204,True
