序号,code,name,eps,revenue,rev_yoy,营业总收入-季度环比增长,profit,profit_yoy,净利润-季度环比增长,bps,roe,ocf_ps,gross_margin,industry,ann_date,rev_yi,profit_yi,cash_ratio,小基数,信号分,命中词,文件数,kf_pct,kf_yi,np_yi,period_used,扣非占比,判定
6692,301349,信德新材,0.4976,832531130.97,63.2711143213,30.7562,70425303.17,617.62,24.9173,19.496155413026,2.55,-0.367093963037,16.0232709202,电池,2026-08-25,8.33,0.704,-0.7377290253959004,False,13,产能利用率、需求旺盛、高景气,2,1523.97,0.53799,0.704253,2026-06-30,0.764,⚠️非经常性占比高
8511,688072,拓荆科技,4.77,2912864261.46,49.060715147,61.8466,1342753980.93,1324.1,35.3222,43.7448191281,18.11,0.397208768798,41.0042896167,半导体,2026-08-21,29.13,13.428,0.0832722785740042,True,4,订单饱满,1,861.92,3.67,13.43,2026-06-30,0.273,⚠️非经常性占比高
9708,603986,兆易创新,9.83,11565760432.15,178.6722977786,76.1593,6856786413.68,1091.5,269.2417,53.129211296108,23.13,8.618944799796,63.1304509177,半导体,2026-08-19,115.66,68.568,0.876800081362767,True,13,供不应求、供给偏紧、量价齐升,2,796.9,48.83,68.57,2026-06-30,0.712,⚠️非经常性占比高
6992,001314,亿道信息,1.38,2745742798.16,80.6783470516,42.2088,195721443.26,1614.8,256.1066,15.748633975132,9.06,-5.217290989873,14.9862240657,消费电子,2026-08-25,27.46,1.957,-3.780645644835507,True,8,产品涨价、在手订单,2,756.32,1.03,1.96,2026-06-30,0.526,⚠️非经常性占比高
8538,603068,博通集成,0.33,638636909.5,70.208448928,5.65,50501645.85,162.6,111.099,11.783601154718,2.9,-0.204378504571,29.535261914,半导体,2026-08-21,6.39,0.505,-0.619328801730303,False,4,产品涨价,1,343.28,0.207326,0.505016,2026-06-30,0.411,⚠️非经常性占比高
898,003032,传智教育,0.09,260276829.1,59.6629196377,50.1359,34418058.43,577.83,2160.7255,2.985717658452,2.9,0.220252480957,59.1003465779,教育,2026-08-29,2.6,0.344,2.4472497884111113,False,5,高景气,1,334.3,0.253288,0.344181,2026-06-30,0.736,⚠️非经常性占比高
6373,688428,诺诚健华,0.14,1137057064.36,55.4558301198,15.0969,246355891.77,918.6917197551,32.8123,4.341112763785,3.2,0.046106870156,89.5390719773,化学制药,2026-08-25,11.37,2.464,0.3293347868285713,False,4,价格中枢,1,327.38,1.87,2.46,2026-06-30,0.76,⚠️非经常性占比高
11366,300671,富满微,0.41,677704332.42,77.0423367042,51.9423,90640014.56,353.41,241.699,7.567866919368,5.46,-0.473924708765,26.1260508071,半导体,2026-07-30,6.78,0.906,-1.1559139238170733,False,4,满产,1,233.76,0.665442,0.9064,2026-06-30,0.734,⚠️非经常性占比高
11065,002200,交投生态,0.1209,288487921.03,209.1562160739,10.5239,53197112.21,187.62,170.6129,2.969218370505,4.05,-0.08566381761,19.5590432863,基础建设,2026-08-08,2.88,0.532,-0.7085510141439206,False,4,在手订单,1,179.77,0.283119,0.531971,2026-06-30,0.532,⚠️非经常性占比高
11310,600110,诺德股份,0.0598,6432962337.54,113.3287576188,52.9874,102906126.6,242.07,56.6896,3.461823192857,1.77,-0.630557836444,9.159727711,电池,2026-07-31,64.33,1.029,-10.54444542548495,False,20,供给偏紧、供需偏紧、提价、订单饱满、高景气,2,159.59,0.505283,1.03,2026-06-30,0.491,⚠️非经常性占比高
3139,301369,联动科技,0.23,223494573.05,43.4545817084,38.2427,23399979.91,93.2,485.3364,15.191627447215,1.52,-0.228927340999,57.1900048693,半导体,2026-08-27,2.23,0.234,-0.9953362652130434,False,9,在手订单、高景气,1,155.19,0.185444,0.234,2026-06-30,0.792,⚠️非经常性占比高
9471,300014,亿纬锂能,1.57,45691465298.91,62.2015350628,20.9466,3301230562.92,105.66,28.2529,23.083164040306,7.24,-0.178494119176,14.3107269459,电池,2026-08-20,456.91,33.012,-0.1136905217681528,False,8,产能爬坡、供不应求,1,111.89,24.51,33.01,2026-06-30,0.743,⚠️非经常性占比高
9532,000711,京蓝科技,0.0253,444550830.15,98.0652175543,124.0081,74201518.71,213.11,597.8298,0.247198503244,11.6,-0.049002340569,18.4913055144,环境治理,2026-08-20,4.45,0.742,-1.936851405889328,False,3,产能爬坡,1,108.48,0.057003,0.742015,2026-06-30,0.077,⚠️非经常性占比高
139,688559,海目星,0.21,3073242310.03,84.6423856681,33.3714,51914998.3,107.3283714825,5.9295,9.993535726147,2.14,7.581268866335,23.1013397275,自动化设备,2026-08-31,30.73,0.519,36.10128031588096,False,9,在手订单、高景气,2,102.59,0.185918,0.51915,2026-06-30,0.358,⚠️非经常性占比高
11132,301091,深城交,0.07,621408705.13,49.6527009581,173.9509,38544455.63,510.08,272.9173,4.597000227147,1.6,-0.290579967133,33.1636144487,工程咨询服务Ⅱ,2026-08-07,6.21,0.385,-4.151142387614286,False,8,价格中枢、满产,2,71.36,-0.069367,0.385445,2026-06-30,-0.18,⚠️非经常性占比高
151,688293,奥浦迈,0.91,453690008.08,155.2432621603,49.0678,124032624.39,230.34,116.1765,22.095421987999,4.32,0.742451377826,46.0487862173,生物制品,2026-08-31,4.54,1.24,0.8158806349736264,False,4,价格中枢,1,66.87,0.493572,1.24,2026-06-30,0.398,⚠️非经常性占比高
